Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18
sp|Q93100|KPBB_HUMAN	Q93100	KPBB_HUMAN	PHKB	1093	Homo sapiens	Phosphorylase b kinase regulatory subunit beta	1:Experimental evidence at protein level	9.15	1.0000	0.9990	9	9	9	10	10	10	44823500	44823500	44823500	10K(304.2071), 13C(57.0214), 17K(304.2071), 18K(304.2071), 3C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			1141271.0156	1093693.0391	1451478.8867	1339059.8164	1297187.3711	1313791.4609	1392924.1250	1361458.2461	1233464.0938	1527331.1211	1637092.7734	1978963.5977	1507398.6875	1687766.2773	1600989.9648	1028854.7852	988750.9258	1044709.0469
sp|Q969G3|SMCE1_HUMAN	Q969G3	SMCE1_HUMAN	SMARCE1	411	Homo sapiens	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1	1:Experimental evidence at protein level	31.87	1.0000	0.9990	18	17	17	44	39	39	555313312	555313312	555313312	13K(304.2071), 14K(304.2071), 1K(304.2071), 2K(304.2071), 6M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), N-term(304.2071)			8461053.9062	7631624.4922	9877706.5430	9438877.6992	9299818.5742	9086304.3242	9979144.1055	9819421.8281	8493396.0898	11137122.0117	11469253.5625	13196732.0391	10391512.6250	11856137.5000	10913055.2812	6557696.4355	5727276.9531	6037995.4043
sp|Q969H0|FBXW7_HUMAN	Q969H0	FBXW7_HUMAN	FBXW7	707	Homo sapiens	F-box/WD repeat-containing protein 7	1:Experimental evidence at protein level	3.39	1.0000	0.9990	2	2	2	2	2	2	1875547	1875547	1875547	13K(304.2071), N-term(304.2071)			43061.5039	40189.8516	53162.8281	43699.4727	43693.7617	41219.6367	56904.4727	53855.9180	47783.8828	44873.2070	49724.5156	55017.4961	47769.2812	52099.2891	48607.0547	32889.6680	27845.3613	30259.6445
sp|Q969I6|S38A4_HUMAN	Q969I6	S38A4_HUMAN	SLC38A4	547	Homo sapiens	Sodium-coupled neutral amino acid transporter 4	1:Experimental evidence at protein level	4.57	1.0000	0.9990	3	3	3	3	3	3	43598320	43598320	43598320	9K(304.2071), N-term(304.2071)			860464.7812	841773.1406	1087604.9531	1050931.4062	1051465.8438	1059743.2812	993148.7344	1015022.9688	835029.9844	527086.8438	560712.0938	718113.0938	554266.6719	585255.1250	558910.5312	1074797.0938	992556.2188	1013123.0312
sp|Q969J3|BORC5_HUMAN	Q969J3	BORC5_HUMAN	BORCS5	196	Homo sapiens	BLOC-1-related complex subunit 5	1:Experimental evidence at protein level	28.57	1.0000	0.9990	5	5	5	8	8	8	15916326	15916326	15916326	10C(57.0214), 10K(304.2071), 12K(304.2071), 13K(304.2071), 4M(15.9949), N-term(304.2071)			748207.2305	682621.2109	909620.7812	828536.1992	842365.4922	810854.2578	890555.8750	902336.8281	773078.2266	983344.2656	1042781.6562	1282553.3750	950155.6797	1081130.9219	997610.8594	790504.9258	673697.4453	953998.3281
sp|Q969K3|RNF34_HUMAN	Q969K3	RNF34_HUMAN	RNF34	372	Homo sapiens	E3 ubiquitin-protein ligase RNF34	1:Experimental evidence at protein level	5.65	1.0000	0.9990	3	3	3	3	3	3	21354260	21354260	21354260	10K(304.2071), 11K(304.2071), 3K(304.2071), 7K(304.2071), 8C(57.0214), 9C(57.0214), N-term(304.2071)			756075.0000	767039.1680	979629.9531	788686.9688	787210.6797	795640.6133	909291.3672	896198.0352	791699.4766	718197.6953	786296.5352	1021467.9375	758020.9492	839752.1875	762237.7500	324591.9141	306147.3535	315065.7891
sp|Q969M1|TM40L_HUMAN	Q969M1	TM40L_HUMAN	TOMM40L	308	Homo sapiens	Mitochondrial import receptor subunit TOM40B	1:Experimental evidence at protein level	11.69	1.0000	0.9990	3	3	3	3	3	3	11038938	11038938	11038938	11K(304.2071), 7M(15.9949), 9K(304.2071), N-term(304.2071)			181380.1113	162441.4492	215078.2695	199666.2012	212747.1641	200497.7930	213430.3340	212860.1387	174310.8955	265246.3379	296305.2383	342234.4688	244533.3184	270025.9746	252997.1016	113570.4648	133935.8672	97966.0186
sp|Q969M7|UBE2F_HUMAN	Q969M7	UBE2F_HUMAN	UBE2F	185	Homo sapiens	NEDD8-conjugating enzyme UBE2F	1:Experimental evidence at protein level	18.92	1.0000	0.9990	3	3	3	4	4	4	10802804	10802804	10802804	11C(57.0214), 13C(57.0214), 14K(304.2071), 8K(304.2071), N-term(304.2071)			278472.9102	263555.8672	361409.0859	333621.9688	313144.2617	313926.6602	344952.9844	342537.2812	293076.4609	379021.5859	397324.4062	476584.5234	371845.2109	427916.2578	384811.4844	285210.2578	255111.3320	270555.5781
sp|Q969N2|PIGT_HUMAN	Q969N2	PIGT_HUMAN	PIGT	578	Homo sapiens	GPI transamidase component PIG-T	1:Experimental evidence at protein level	21.11	1.0000	0.9990	11	11	11	13	13	13	132303252	132303252	132303252	12K(304.2071), 19K(304.2071), 3K(304.2071), 4C(57.0214), 7K(304.2071), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			1660017.9844	1516400.5547	2019466.9473	1800128.7930	1836889.8770	1744624.2871	1941097.4355	1930131.0391	1633974.0625	1941155.0645	2160249.2344	2489695.1719	1923445.3027	2210180.8340	2013119.4648	1461736.2988	1317640.9785	1389289.0898
sp|Q969Q5|RAB24_HUMAN	Q969Q5	RAB24_HUMAN	RAB24	203	Homo sapiens	Ras-related protein Rab-24	1:Experimental evidence at protein level	28.08	1.0000	0.9990	6	6	6	8	8	8	64505780	64505780	64505780	11C(57.0214), 11K(304.2071), 14K(304.2071), 6C(57.0214), 9K(304.2071), N-term(304.2071)			3532898.3633	3392050.6484	4595921.8945	4084580.6133	3769574.2891	3832946.6836	3982479.2109	4031342.3555	3456462.0898	4681847.2070	5119170.1367	6127717.6953	4497598.0000	5123971.1094	4694155.9922	2396623.7109	2268253.0508	2350213.3203
sp|Q969Q6|P2R3C_HUMAN	Q969Q6	P2R3C_HUMAN	PPP2R3C	453	Homo sapiens	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma	1:Experimental evidence at protein level	6.40	1.0000	0.9990	3	3	3	3	3	3	3279972	3279972	3279972	11K(304.2071), 1K(304.2071), 6M(15.9949), 7K(304.2071), N-term(304.2071)			134694.6797	114157.2539	160950.0156	151031.5547	153201.1719	138927.4805	157003.4219	162186.5859	140485.4922	167972.7422	172495.6328	204492.5312	151131.0000	163662.6953	163225.8438	104961.8008	92651.2695	96294.5234
sp|Q969R5|LMBL2_HUMAN	Q969R5	LMBL2_HUMAN	L3MBTL2	705	Homo sapiens	Lethal(3)malignant brain tumor-like protein 2	1:Experimental evidence at protein level	14.61	1.0000	0.9990	10	6	6	22	10	10	109681740	55455703	109681740	12C(57.0214), 12K(304.2071), 14M(15.9949), 15C(57.0214), 3C(57.0214), 4M(15.9949), 6C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)			2271450.5635	2098625.3447	2757720.5762	2398639.0352	2278514.1367	2365055.6152	2603123.3828	2619077.1309	2254056.9697	2796606.8672	2945427.3418	3751122.3027	2617124.0488	2968549.3418	2728328.0449	1219856.0928	1097441.3975	1140204.1152
sp|Q969S3|ZN622_HUMAN	Q969S3	ZN622_HUMAN	ZNF622	477	Homo sapiens	Zinc finger protein 622	1:Experimental evidence at protein level	11.74	1.0000	0.9990	7	7	7	19	19	19	71809180	71809180	71809180	12M(15.9949), 15K(304.2071), 1K(304.2071), 2M(15.9949), 4M(15.9949), 5M(15.9949), 7K(304.2071), 9K(304.2071), N-term(304.2071)			3378849.4277	3042712.4512	4050954.4180	3752524.2832	3771187.3887	3820926.1445	4056277.7656	4017361.1445	3383823.5000	4342929.0352	4756525.6895	5632821.3477	4212320.7949	4794908.9434	4524420.5078	4172671.9141	3690704.0449	4169398.6934
sp|Q969S9|RRF2M_HUMAN	Q969S9	RRF2M_HUMAN	GFM2	779	Homo sapiens	Ribosome-releasing factor 2, mitochondrial	1:Experimental evidence at protein level	8.47	1.0000	0.9990	6	6	6	13	13	13	147414062	147414062	147414062	12K(304.2071), 15M(15.9949), 5M(15.9949), N-term(304.2071)			2636741.0518	2421778.9229	3053965.1152	2852245.4844	2751498.7500	2673366.6982	3123110.3359	3016809.7734	2589978.7129	3458784.6719	3728142.9043	4193793.4531	3224261.5039	3651095.5605	3331518.1328	1321580.2524	1221849.2544	1286702.6182
sp|Q969T4|UB2E3_HUMAN	Q969T4	UB2E3_HUMAN	UBE2E3	207	Homo sapiens	Ubiquitin-conjugating enzyme E2 E3	1:Experimental evidence at protein level	32.85	1.0000	0.9990	6	4	5	11	5	8	71078368	66670489	71078368	13C(57.0214), 18K(304.2071), 1K(304.2071), 8K(304.2071), N-term(304.2071)			1002554.0049	943502.7412	1232652.3945	1139250.6484	1168600.8594	1080527.1875	1250821.9004	1211488.0957	1030655.6064	1280842.6074	1324218.8477	1484702.5801	1215834.0625	1373229.8887	1296363.1816	904416.4590	759581.3438	748779.9453
sp|Q969T7|5NT3B_HUMAN	Q969T7	5NT3B_HUMAN	NT5C3B	300	Homo sapiens	7-methylguanosine phosphate-specific 5'-nucleotidase	1:Experimental evidence at protein level	9.67	1.0000	0.9990	4	4	4	6	6	6	145586196	145586196	145586196	7K(304.2071), 9K(304.2071), N-term(304.2071)			1683180.0078	1546103.3281	2045446.1953	1995356.8594	2012504.9297	1865969.2422	1994659.7656	1991007.5469	1737508.3750	2036102.5000	1937938.2344	2387742.0547	1872193.6172	2167952.4766	1970030.5312	1452803.4609	1315337.7891	1387455.0742
sp|Q969T9|WBP2_HUMAN	Q969T9	WBP2_HUMAN	WBP2	261	Homo sapiens	WW domain-binding protein 2	1:Experimental evidence at protein level	15.71	1.0000	0.9990	5	5	5	7	7	7	138290644	138290644	138290644	1K(304.2071), 7K(304.2071), N-term(304.2071)			1703151.7461	1602397.0547	2119202.3281	1976516.4688	2012649.8164	1904825.4453	2042568.7266	2027785.3047	1810614.0547	2170625.7578	2167765.5273	2741150.5938	2052119.1719	2362364.5391	2194631.2461	1583494.5938	1415724.9219	1523742.3242
sp|Q969U7|PSMG2_HUMAN	Q969U7	PSMG2_HUMAN	PSMG2	264	Homo sapiens	Proteasome assembly chaperone 2	1:Experimental evidence at protein level	9.85	1.0000	0.9990	3	3	3	7	7	7	140462394	140462394	140462394	4M(15.9949), 7C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)			3116036.1328	2938906.9844	3892315.6719	3443407.0547	3538793.9609	3451495.7188	3636670.4375	3643502.7031	3165889.1641	4476535.9531	4652255.1719	5499149.0000	4067810.4219	4604333.0781	4255869.0156	2176338.5938	1961493.9531	1999890.1094
sp|Q969V3|NCLN_HUMAN	Q969V3	NCLN_HUMAN	NCLN	563	Homo sapiens	Nicalin	1:Experimental evidence at protein level	16.52	1.0000	0.9990	9	9	9	21	21	21	229709796	229709796	229709796	16K(304.2071), 2M(15.9949), 3M(15.9949), 4M(15.9949), 7K(304.2071), N-term(304.2071)			4025540.6953	3659755.0078	4890116.7188	4352741.2500	4408892.2344	4366354.1953	4493246.5234	4635185.4531	3909435.7500	4456520.3828	4792085.9297	5807920.5312	3997218.2344	4604325.5312	4267093.3047	2920473.7969	2644277.8047	2760524.5156
sp|Q969V5|MUL1_HUMAN	Q969V5	MUL1_HUMAN	MUL1	352	Homo sapiens	Mitochondrial ubiquitin ligase activator of NFKB 1	1:Experimental evidence at protein level	6.25	1.0000	0.9990	2	2	2	2	2	2	5196012	5196012	5196012	10K(304.2071), 11C(57.0214), 12K(304.2071), 8M(15.9949), N-term(304.2071)			52207.5430	44388.8086	55634.4375	50646.4805	47728.6055	45286.8828	50973.9453	50264.5039	48412.3594	54589.6641	56396.2656	67857.7891	47482.5273	51238.3633	49179.0039	27902.3965	25290.0703	24279.6016
sp|Q969V6|MKL1_HUMAN	Q969V6	MKL1_HUMAN	MKL1	931	Homo sapiens	MKL/myocardin-like protein 1	1:Experimental evidence at protein level	5.48	1.0000	0.9990	4	4	4	5	5	5	7335337	7335337	7335337	10K(304.2071), 16K(304.2071), 8K(304.2071), N-term(304.2071)			381299.7344	326791.3438	466666.7500	423029.6562	405785.3750	391106.7812	440768.2734	432409.6016	377728.5469	479521.3125	465306.4531	547559.3203	425017.4297	459859.1328	419927.1328	271040.3008	248992.7227	268887.3242
sp|Q969X5|ERGI1_HUMAN	Q969X5	ERGI1_HUMAN	ERGIC1	290	Homo sapiens	Endoplasmic reticulum-Golgi intermediate compartment protein 1	1:Experimental evidence at protein level	39.31	1.0000	0.9990	8	8	8	14	14	14	94909354	94909354	94909354	10M(15.9949), 11K(304.2071), 14K(304.2071), 21M(15.9949), 27K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)			1592555.3799	1468919.5469	1934204.9785	1718901.3467	1770248.3633	1692478.9014	1886950.2949	1881133.1934	1621808.9600	2044942.1318	2151403.7246	2488322.9062	1988193.1836	2237148.3164	2060519.4434	1375335.3711	1263546.0068	1202232.5264
sp|Q969X6|UTP4_HUMAN	Q969X6	UTP4_HUMAN	UTP4	686	Homo sapiens	U3 small nucleolar RNA-associated protein 4 homolog	1:Experimental evidence at protein level	9.04	1.0000	0.9990	7	7	7	19	19	19	252234116	252234116	252234116	1C(57.0214), 1C(57.0214), 1K(304.2071), 2K(304.2071), 9K(304.2071), N-term(304.2071)			3100202.2500	2747983.0820	3619668.0352	3259378.1250	3243429.7188	3231078.8086	3422504.1836	3393716.6406	2942219.4141	3564024.9766	3774032.0742	4438900.5117	3628759.8242	4028349.1680	3757689.5586	2532588.5117	2256878.8594	2452255.3848
sp|Q969Z0|FAKD4_HUMAN	Q969Z0	FAKD4_HUMAN	TBRG4	631	Homo sapiens	FAST kinase domain-containing protein 4	1:Experimental evidence at protein level	5.55	1.0000	0.9990	4	4	4	4	4	4	124121983	124121983	124121983	2K(304.2071), 7K(304.2071), N-term(304.2071)			1817421.8125	1741156.9766	2235621.4688	2006219.3750	2122737.4375	2023816.0859	2107020.2422	2135432.3203	1878939.4453	2076845.9531	2205216.7344	2778038.8359	2197989.6719	2336690.7734	2296412.5625	2542979.3008	2378201.7969	2571474.2969
sp|Q969Z3|MARC2_HUMAN	Q969Z3	MARC2_HUMAN	MARC2	335	Homo sapiens	Mitochondrial amidoxime reducing component 2	1:Experimental evidence at protein level	6.87	1.0000	0.9990	3	3	3	6	6	6	274567492	274567492	274567492	5M(15.9949), 7K(304.2071), N-term(304.2071)			5191289.5625	5206521.2617	6440347.1367	6606612.7812	5902997.2461	5943779.4844	6282132.7266	6112523.3594	5498404.3750	5379664.2969	5630513.3359	7376103.9766	4815805.3516	5807194.6211	5277224.3828	3014730.6992	2792717.6133	3159048.5000
sp|Q96A19|C102A_HUMAN	Q96A19	C102A_HUMAN	CCDC102A	550	Homo sapiens	Coiled-coil domain-containing protein 102A	1:Experimental evidence at protein level	12.73	1.0000	0.9990	5	5	5	7	7	7	4504103	4504103	4504103	10K(304.2071), 9K(304.2071), N-term(304.2071)			100730.0996	87499.6865	131587.1738	104091.1270	113399.4355	110523.1680	120277.8887	122501.4277	106757.6758	136754.7520	154628.7402	175146.2969	146067.3848	155729.3027	145260.1094	95929.3086	78701.2402	81148.6846
sp|Q96A32|MLRS_HUMAN	Q96A32	MLRS_HUMAN	MYLPF	169	Homo sapiens	Myosin regulatory light chain 2, skeletal muscle isoform	2:Experimental evidence at transcript level	18.93	1.0000	0.9990	3	3	3	3	3	3	5728479	5728479	5728479	12K(304.2071), 13K(304.2071), 3C(57.0214), 7K(304.2071), N-term(304.2071)			271032.1914	247365.8906	348859.7031	323249.9219	321561.4844	326653.3516	363329.5781	360296.6328	298557.0547	265328.2773	290929.9062	331720.6250	350722.3516	353934.8203	318710.2422	241243.1953	210572.5000	215956.6328
sp|Q96A33|CCD47_HUMAN	Q96A33	CCD47_HUMAN	CCDC47	483	Homo sapiens	Coiled-coil domain-containing protein 47	1:Experimental evidence at protein level	24.64	1.0000	0.9990	14	14	14	25	25	25	167557912	167557912	167557912	10K(304.2071), 12K(304.2071), 14K(304.2071), 15K(304.2071), 17K(304.2071), 2C(57.0214), 2M(15.9949), 3C(57.0214), 6M(15.9949), 7K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)			3727748.8945	3496307.1621	4501516.0586	4112133.1895	4123325.6465	4049326.8672	4345947.3164	4570582.3594	3870745.3906	4541549.3066	4754521.6289	5605839.4961	4239215.2969	4725927.9336	4411527.7305	2809154.2129	2497084.8633	2665211.6328
sp|Q96A49|SYAP1_HUMAN	Q96A49	SYAP1_HUMAN	SYAP1	352	Homo sapiens	Synapse-associated protein 1	1:Experimental evidence at protein level	7.39	1.0000	0.9990	4	4	4	4	4	4	41543130	41543130	41543130	10K(304.2071), 11K(304.2071), 1K(304.2071), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			1617710.7188	1555112.6719	1924267.8828	1673552.1172	1733110.8867	1710395.4844	1887132.1250	1903029.1406	1604623.7031	2136061.3828	2228081.2109	2733796.4922	2026819.9375	2340545.7578	2179763.7266	1340454.7773	1147736.5430	1262412.9023
sp|Q96A58|RERG_HUMAN	Q96A58	RERG_HUMAN	RERG	199	Homo sapiens	Ras-related and estrogen-regulated growth inhibitor	1:Experimental evidence at protein level	9.55	1.0000	0.9990	2	2	2	2	2	2	4826075	4826075	4826075	10K(304.2071), 9K(304.2071), N-term(304.2071)			201504.9688	188840.7852	246105.1875	255520.0156	242547.0078	262725.5469	256522.2656	248008.2422	207468.6250	237690.3828	247609.5156	296474.2969	255826.1719	294254.6875	276287.4062	130018.8203	117574.3789	113873.5547
sp|Q96A65|EXOC4_HUMAN	Q96A65	EXOC4_HUMAN	EXOC4	974	Homo sapiens	Exocyst complex component 4	1:Experimental evidence at protein level	23.10	1.0000	0.9990	24	24	24	34	34	34	171843736	171843736	171843736	11K(304.2071), 12K(304.2071), 15K(304.2071), 17K(304.2071), 19K(304.2071), 2K(304.2071), 3C(57.0214), 4C(57.0214), 4K(304.2071), 7K(304.2071), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			8008307.4648	7544227.3008	9637834.0156	9015716.4395	9090428.2090	8978572.2910	9336317.0254	9279669.9668	7975223.3848	8837886.1973	9519503.3945	11073212.2578	8492699.4102	9451693.1660	8785309.0801	6470204.0156	5681052.4453	5828688.3145
sp|Q96A73|P33MX_HUMAN	Q96A73	P33MX_HUMAN	KIAA1191	305	Homo sapiens	Putative monooxygenase p33MONOX	1:Experimental evidence at protein level	7.54	1.0000	0.9974	3	3	3	5	5	5	29327961	29327961	29327961	7K(304.2071), 8K(304.2071), N-term(304.2071)			915248.5234	856434.3438	1163118.9062	1173127.9219	1096680.6250	1118941.3125	1144897.1094	1136463.2969	991624.3594	1281295.8281	1317799.8281	1618059.5000	1074668.5469	1239137.5938	1157453.4062	658082.9922	572423.0742	647099.4766
sp|Q96AB6|NTAN1_HUMAN	Q96AB6	NTAN1_HUMAN	NTAN1	310	Homo sapiens	Protein N-terminal asparagine amidohydrolase	1:Experimental evidence at protein level	23.87	1.0000	0.9990	6	6	6	10	10	10	47114026	47114026	47114026	15C(57.0214), 4M(15.9949), 7K(304.2071), 8K(304.2071), N-term(304.2071)			1222405.1484	1101849.3867	1434636.7930	1251445.6016	1317407.2383	1245920.6406	1419177.0391	1431431.7852	1207386.9121	1553268.6523	1652306.6016	1924812.5195	1465131.9961	1616402.1719	1514959.2266	692150.0391	630633.0459	651585.2656
sp|Q96AC1|FERM2_HUMAN	Q96AC1	FERM2_HUMAN	FERMT2	680	Homo sapiens	Fermitin family homolog 2	1:Experimental evidence at protein level	29.41	1.0000	0.9990	18	16	18	37	35	37	383455256	380303704	383455256	10C(57.0214), 10K(304.2071), 11K(304.2071), 11M(15.9949), 13K(304.2071), 14K(304.2071), 15K(304.2071), 17K(304.2071), 23C(57.0214), 2C(57.0214), 3K(304.2071), 3M(15.9949), 4M(15.9949), 5C(57.0214), 6C(57.0214), 6M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			8783858.2129	8315963.2656	10930967.5273	9742137.3516	9961866.0352	9713887.3750	10344933.6523	10210826.9219	8663548.6914	9628949.2070	10222819.5078	12386678.3203	9350596.3477	10455975.1562	9694313.6211	6329648.5898	5696059.3359	5941599.7734
sp|Q96AD5|PLPL2_HUMAN	Q96AD5	PLPL2_HUMAN	PNPLA2	504	Homo sapiens	Patatin-like phospholipase domain-containing protein 2	1:Experimental evidence at protein level	7.54	1.0000	0.9990	2	2	2	4	4	4	7625147	7625147	7625147	11K(304.2071), 15C(57.0214), N-term(304.2071)			162659.5000	157612.7637	217671.8418	212850.7305	219840.9941	220954.8828	201610.1484	212097.9570	181304.9648	234738.0039	246805.7129	291592.4004	196026.8730	210082.9336	201084.8516	124621.7285	109508.2109	102973.2188
sp|Q96AE4|FUBP1_HUMAN	Q96AE4	FUBP1_HUMAN	FUBP1	644	Homo sapiens	Far upstream element-binding protein 1	1:Experimental evidence at protein level	46.43	1.0000	0.9990	29	22	26	123	96	112	2815323264	1952054400	2815323264	12K(304.2071), 14M(15.9949), 15K(304.2071), 19M(15.9949), 1C(57.0214), 20K(304.2071), 21M(15.9949), 24K(304.2071), 26K(304.2071), 2C(57.0214), 2M(15.9949), 3M(15.9949), 4M(15.9949), 5M(15.9949), 6K(304.2071), 7C(57.0214), 7K(304.2071), 8K(304.2071), N-term(304.2071)			22037389.2383	20701272.3086	27172409.5430	24814997.4766	24924212.8906	24104146.3262	25964107.1445	25733807.2344	21859254.4668	27329292.1602	28664273.1465	34149134.7109	27683544.5762	32002503.6133	29660992.7988	19628714.6152	17426274.4150	18558072.4795
sp|Q96AE7|TTC17_HUMAN	Q96AE7	TTC17_HUMAN	TTC17	1141	Homo sapiens	Tetratricopeptide repeat protein 17	1:Experimental evidence at protein level	14.81	1.0000	0.9990	15	14	15	15	14	15	26034152	17519620	26034152	10C(57.0214), 10K(304.2071), 10M(15.9949), 11K(304.2071), 12K(304.2071), 20K(304.2071), 3C(57.0214), 3K(304.2071), 6C(57.0214), 7C(57.0214), 7K(304.2071), 8C(57.0214), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)			956623.7285	906427.2920	1178571.6523	1101834.7207	1072655.4561	1056273.7041	1147358.6445	1114191.9180	988782.9453	1012509.7246	1132568.6680	1310621.5977	1146921.3105	1244823.4082	1219632.6797	811692.1240	757053.7051	750332.5566
sp|Q96AG4|LRC59_HUMAN	Q96AG4	LRC59_HUMAN	LRRC59	307	Homo sapiens	Leucine-rich repeat-containing protein 59	1:Experimental evidence at protein level	27.69	1.0000	0.9990	9	9	9	18	18	18	1848841344	1848841344	1848841344	10K(304.2071), 12K(304.2071), 1K(304.2071), 21K(304.2071), 2K(304.2071), 5C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			7283179.9062	6541392.8555	8433533.1523	7374544.9531	8118661.0000	7613139.5156	8211718.8555	8253055.0273	6879436.3711	8250397.0156	8810633.2461	10201998.2969	8934436.9023	9990741.1484	9355945.7852	9808705.5547	8445173.0742	8514346.0820
sp|Q96AJ1|CLUA1_HUMAN	Q96AJ1	CLUA1_HUMAN	CLUAP1	413	Homo sapiens	Clusterin-associated protein 1	1:Experimental evidence at protein level	15.98	1.0000	0.9990	7	6	6	7	6	6	26917045	8370780	26917045	10K(304.2071), 16K(304.2071), 4M(15.9949), 5M(15.9949), 6M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)			321323.3555	292613.6992	405536.8359	358703.1719	354753.0664	356727.5859	391455.2227	378879.7695	327051.6016	373017.3906	398156.4062	476554.0977	386398.6641	420612.6484	386632.8828	236813.0352	207561.8281	204642.9160
sp|Q96AJ9|VTI1A_HUMAN	Q96AJ9	VTI1A_HUMAN	VTI1A	217	Homo sapiens	Vesicle transport through interaction with t-SNAREs homolog 1A	1:Experimental evidence at protein level	19.82	1.0000	0.9990	5	5	5	6	6	6	85893848	85893848	85893848	2M(15.9949), 5M(15.9949), 8K(304.2071), N-term(304.2071)			541723.9688	487023.9531	629887.1055	578388.8945	598896.5488	582546.9414	624690.4102	660341.3281	528041.5488	727134.4688	766463.4453	925069.7188	664956.1094	756918.4492	694061.0078	445633.5020	350494.6582	423099.2012
sp|Q96AT9|RPE_HUMAN	Q96AT9	RPE_HUMAN	RPE	228	Homo sapiens	Ribulose-phosphate 3-epimerase	1:Experimental evidence at protein level	23.25	1.0000	0.9990	4	3	4	13	10	13	134185062	131125653	134185062	16M(15.9949), 17C(57.0214), 1C(57.0214), 2M(15.9949), 3C(57.0214), 5M(15.9949), 6M(15.9949), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			1072035.5312	1007320.3008	1332553.5234	1201852.8828	1198506.9414	1157971.4277	1224533.7773	1221092.7305	1067435.0254	1314003.1230	1413777.8555	1705360.1016	1431894.5664	1546794.3906	1473154.4062	1153400.3594	1052748.7617	1038791.2715
sp|Q96AX1|VP33A_HUMAN	Q96AX1	VP33A_HUMAN	VPS33A	596	Homo sapiens	Vacuolar protein sorting-associated protein 33A	1:Experimental evidence at protein level	16.11	1.0000	0.9990	10	10	10	13	13	13	68901894	68901894	68901894	11K(304.2071), 13K(304.2071), 14K(304.2071), 3C(57.0214), 7K(304.2071), 8C(57.0214), 9M(15.9949), N-term(304.2071), N-term(42.0106)			1376334.6133	1247440.0039	1862775.4531	1560230.7734	1752759.6836	1656802.5234	1724137.6836	1689061.5195	1424739.9570	1800584.7539	2104592.1992	2278139.8047	1962635.0781	2178901.6641	1982771.3203	1484688.6289	1332356.0195	1353238.2305
sp|Q96AX9|MIB2_HUMAN	Q96AX9	MIB2_HUMAN	MIB2	1013	Homo sapiens	E3 ubiquitin-protein ligase MIB2	1:Experimental evidence at protein level	10.56	1.0000	0.9990	11	11	11	11	11	11	47317981	47317981	47317981	1C(57.0214), 1K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)			1679743.5703	1621752.8633	2257854.5391	1993323.7461	2078780.5859	1957233.0078	2204562.7070	2047909.6719	2227720.1465	2372792.9961	2727220.9805	2971196.0977	2702160.6875	2820403.0664	2640503.1016	1455444.8887	1209004.9004	1217061.6855
sp|Q96AY2|EME1_HUMAN	Q96AY2	EME1_HUMAN	EME1	570	Homo sapiens	Crossover junction endonuclease EME1	1:Experimental evidence at protein level	4.74	1.0000	0.9990	4	4	4	4	4	4	26987883	26987883	26987883	11K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			929604.6836	867899.9297	1166089.3594	1048022.9258	1022562.8516	1027387.8945	1091861.9609	1124029.8750	952013.1758	1281532.0156	1370975.4922	1657167.4297	1273852.5938	1416390.1016	1344181.1094	728864.3828	622893.3477	694632.0977
